item_id,user_id,email,student_number,username,category,price,location,description,image_url
1001,1,21984430@student.uwa.edu.au,21984430,perth_dev,Textbooks,45,Reid Library,Introduction to Psychology - 5th Edition,img_1001.jpg
1002,1,21984430@student.uwa.edu.au,21984430,perth_dev,Electronics,20,Guild Village,Scientific Calculator Casio,img_1002.jpg
1003,2,22039481@student.uwa.edu.au,22039481,swan_river,Furniture,15,Currie Hall,Desk Lamp - LED with USB port,img_1003.jpg
1004,5,22311054@student.uwa.edu.au,22311054,study_vibes,Textbooks,60,Business School,Economics Principles - Brand New,img_1004.jpg
1005,8,22688427@student.uwa.edu.au,22688427,quokka_fan,Clothing,25,Oak Lawn,UWA Hoodie - Size M,img_1005.jpg
1006,12,23066421@student.uwa.edu.au,23066421,pixel_pet,Electronics,150,Engineering Building,Monitor 24-inch - Good condition,img_1006.jpg
1007,15,23311254@student.uwa.edu.au,23311254,wa_sunset,Textbooks,30,Reid Library,Human Anatomy Lab Manual,img_1007.jpg
1008,18,23644587@student.uwa.edu.au,23644587,grad_goal,Other,10,Guild Village,Lab Coat - Size L,img_1008.jpg
1009,20,23866809@student.uwa.edu.au,23866809,new_user_20,Electronics,55,Science Library,Mechanical Keyboard - Blue Switches,img_1009.jpg
1010,3,22155632@student.uwa.edu.au,22155632,matilda_01,Furniture,40,St Catherine's,Ergonomic Office Chair,img_1010.jpg
1011,4,22288743@student.uwa.edu.au,22288743,ocean_view,Textbooks,15,Barry J Marshall Library,Used Biology Notebooks,img_1011.jpg
1012,6,22466905@student.uwa.edu.au,22466905,crawley_cam,Electronics,80,EZONE,Graphing Calculator TI-84,img_1012.jpg
1013,7,22533216@student.uwa.edu.au,22533216,blue_boat,Other,5,Guild Village,UWA Lanyard - Blue,img_1013.jpg
1014,9,22711338@student.uwa.edu.au,22711338,guild_life,Clothing,40,Oak Lawn,UWA Varsity Jacket - Size L,img_1014.jpg
1015,10,22844549@student.uwa.edu.au,22844549,coffee_run,Furniture,12,University Hall,Small Bedside Table,img_1015.jpg
1016,11,22955110@student.uwa.edu.au,22955110,library_owl,Textbooks,90,Reid Library,Law of Torts Casebook,img_1016.jpg
1017,13,23177832@student.uwa.edu.au,23177832,coding_cove,Electronics,25,EZONE,Laptop Cooling Pad,img_1017.jpg
1018,14,23299143@student.uwa.edu.au,23299143,data_wiz,Clothing,15,Guild Village,UWA Soccer Jersey,img_1018.jpg
1019,16,23422365@student.uwa.edu.au,23422365,reid_study,Other,20,Barry J Marshall Library,Backpack - Waterproof,img_1019.jpg
1020,17,23533476@student.uwa.edu.au,23533476,exam_mode,Electronics,10,Reid Library,USB-C Hub / Adapter,img_1020.jpg
