user_id,username,email,password
1,perth_dev,21984430@student.uwa.edu.au,$2y$10$eImiTXuWVxfMhy7uFWGUu.
2,swan_river,22039481@student.uwa.edu.au,$2y$10$8K1p/a0daabcde12345678
3,matilda_01,22155632@student.uwa.edu.au,$2y$10$92IXUNpkjO0rOQ5byMi.Ye
4,ocean_view,22288743@student.uwa.edu.au,$2y$10$v7n3R0X.qR.zL2.0.
5,study_vibes,22311054@student.uwa.edu.au,$2y$10$L1o2n3g4s5t6r7i8n9g0h1
6,crawley_cam,22466905@student.uwa.edu.au,$2y$10$Hj9k8l7m6n5o4p3q2r1s0t
7,blue_boat,22533216@student.uwa.edu.au,$2y$10$A1B2C3D4E5F6G7H8I9J0K1
8,quokka_fan,22688427@student.uwa.edu.au,$2y$10$Z9Y8X7W6V5U4T3S2R1Q0P1
9,guild_life,22711338@student.uwa.edu.au,$2y$10$M2N3B4V5C6X7Z8A9S0D1F2
10,coffee_run,22844549@student.uwa.edu.au,$2y$10$K3J4H5G6F7D8S9A0P1O2I3
11,library_owl,22955110@student.uwa.edu.au,$2y$10$Q1W2E3R4T5Y6U7I8O9P0A1
12,pixel_pet,23066421@student.uwa.edu.au,$2y$10$S1D2F3G4H5J6K7L8M9N0B1
13,coding_cove,23177832@student.uwa.edu.au,$2y$10$X1C2V3B4N5M6Q7W8E9R0T1
14,data_wiz,23299143@student.uwa.edu.au,$2y$10$Y1U2I3O4P5A6S7D8F9G0H1
15,wa_sunset,23311254@student.uwa.edu.au,$2y$10$J1K2L3M4N5B6V7C8X9Z0Q1
16,reid_study,23422365@student.uwa.edu.au,$2y$10$P1O2I3U4Y5T6R7E8W9Q0S1
17,exam_mode,23533476@student.uwa.edu.au,$2y$10$L9K8J7H6G5F4D3S2A1M0N1
18,grad_goal,23644587@student.uwa.edu.au,$2y$10$V1B2N3M4Q5W6E7R8T9Y0U1
19,campus_cat,23755698@student.uwa.edu.au,$2y$10$I9O8P7A6S5D4F3G2H1J0K1
20,new_user_20,23866809@student.uwa.edu.au,$2y$10$Z1X2C3V4B5N6M7Q8W9E0R1
